epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
44,2.113016149520874,27.6,79.2,2.2201762187957765,18.09,68.01
45,2.1284199256896974,27.0,77.2,2.2176755908966066,18.529999999999998,66.44
46,2.1107609672546386,29.799999999999997,77.60000000000001,2.2192308841705324,17.97,67.64
47,2.137584619522095,27.6,74.0,2.2100501235961914,18.35,68.92
48,2.078534650802612,33.6,82.8,2.2094807312011717,17.79,69.81
49,2.0892324275970457,31.2,82.0,2.2126449436187743,18.47,69.65
50,2.0889801235198973,29.799999999999997,83.8,2.2125032356262206,18.4,68.63
51,2.0782544689178466,33.6,81.2,2.211512113189697,18.29,68.4
52,2.1072945194244386,30.8,77.8,2.2136202518463133,17.349999999999998,67.85
53,2.0900196628570558,30.0,83.0,2.2149049942016603,19.28,67.02
54,2.0704073581695557,34.4,83.6,2.2154450222015383,17.77,68.56
55,2.0561252670288086,34.2,86.0,2.2093103412628174,16.869999999999997,70.02000000000001
56,2.0750451126098635,28.000000000000004,85.0,2.207952670288086,18.84,68.76
57,2.0876756515502928,32.4,82.6,2.20963323097229,18.490000000000002,67.96
58,2.0730608730316162,35.0,82.19999999999999,2.205879567718506,19.08,69.82000000000001
59,2.0560539360046386,35.6,86.6,2.2102882633209227,19.13,68.65
60,2.0725328426361083,36.199999999999996,83.2,2.2180479721069335,17.14,67.27
61,2.0681613845825195,28.4,83.39999999999999,2.2342683364868163,16.64,64.82
62,2.142285192489624,27.0,74.4,2.2222558464050293,17.79,66.09
63,2.069666374206543,33.4,83.2,2.2222460262298585,19.02,65.95
64,2.071177631378174,32.4,84.0,2.2270310050964355,17.9,65.62
65,2.0410146923065184,39.4,84.6,2.2174275173187254,16.18,69.81
66,2.063898380279541,32.6,84.6,2.2270045780181884,17.4,65.60000000000001
67,2.0469369888305664,33.800000000000004,85.6,2.2204993618011475,17.89,68.31
68,2.0493405990600584,36.199999999999996,87.6,2.2160437942504885,18.11,67.0
69,2.0189133167266844,42.199999999999996,86.4,2.2126073196411133,17.169999999999998,68.33
70,2.0367428836822508,39.2,85.6,2.2054311878204347,18.64,69.38
71,2.0104703922271727,43.2,87.4,2.2133124168395995,19.09,67.52
72,1.9725221662521362,47.8,90.2,2.228928633117676,18.72,64.75
73,2.0000994491577146,43.2,87.4,2.2294034393310547,17.919999999999998,65.25999999999999
74,2.0344606132507326,40.0,85.2,2.2321978481292724,18.93,65.86999999999999
75,2.0187161350250244,45.800000000000004,85.39999999999999,2.223258367538452,16.45,68.02
76,2.0219937171936033,36.8,88.0,2.221599015426636,18.42,66.88
77,1.9954522914886474,43.0,90.2,2.24467261428833,17.88,60.88
78,1.9839004611968993,46.6,87.8,2.2157252220153807,18.8,68.07
79,1.9952414178848266,45.6,89.60000000000001,2.2157286182403566,19.82,67.63
80,1.9821277332305909,44.6,91.0,2.2183255813598635,18.84,66.05
81,1.9575528135299682,50.6,91.0,2.209837949371338,18.790000000000003,68.55
82,1.9625159254074096,49.8,90.4,2.2189669868469237,19.139999999999997,66.29
83,1.9538211517333985,47.8,90.60000000000001,2.2177767356872558,18.65,67.57
84,1.9442030849456786,52.0,91.4,2.2189120014190675,17.78,67.4
85,1.974493257522583,45.800000000000004,91.0,2.24152893409729,18.89,64.51
86,1.990124168395996,45.4,89.2,2.2231748882293703,17.78,67.36
87,1.9448129930496216,48.4,93.0,2.2334516662597657,16.830000000000002,65.7
88,2.0188777351379397,39.2,88.4,2.2396134326934813,17.560000000000002,63.04
89,2.0190370235443114,41.8,85.0,2.2251739990234376,17.07,66.58
90,2.0371213760375975,34.0,88.0,2.210450901031494,19.35,67.5
91,1.9848502941131592,44.800000000000004,88.2,2.200082598876953,19.48,69.96
92,1.977372917175293,49.6,89.4,2.201144333267212,19.82,69.23
93,1.987255802154541,48.199999999999996,86.8,2.2013379779815674,19.71,69.67
94,1.9965606536865235,45.4,86.8,2.2071705192565916,19.73,68.21000000000001
95,1.9881601333618164,45.0,88.4,2.214721854019165,19.53,67.64
96,2.003932010650635,42.199999999999996,87.2,2.218992726135254,17.98,67.5
97,1.9737162094116212,46.6,90.4,2.2211692699432373,18.990000000000002,66.22
98,1.952264102935791,49.4,89.60000000000001,2.199876910400391,20.11,69.31
99,1.9730461769104004,46.800000000000004,91.0,2.2173144622802736,19.25,67.11
100,1.9469038772583007,51.2,91.0,2.215880342102051,19.28,67.02
