epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.7758904218673706,70.94,94.52000000000001,1.6573337141036988,79.72,98.65
2,1.638038831138611,81.76,98.44000000000001,1.6363217607498168,81.08,98.3
3,1.6198259956359864,83.14,98.64,1.6225100555419922,82.05,98.65
4,1.608493342399597,84.06,98.92,1.6189465211868286,82.21000000000001,98.87
5,1.60035387840271,84.72,99.22,1.6145680131912232,82.42,98.61
6,1.5901315593719483,85.84,99.3,1.6231254764556884,82.3,98.4
7,1.5883999057769775,86.26,99.53999999999999,1.615525288581848,82.67,98.49
8,1.584688659286499,86.46000000000001,99.3,1.6124262170791626,82.77,98.79
9,1.5789356327056885,86.78,99.56,1.606385182571411,82.89999999999999,98.31
10,1.5709771200180054,87.53999999999999,99.53999999999999,1.6195377870559693,82.66,98.47
11,1.583717400741577,86.4,99.52,1.6162847467422485,82.38,98.28
12,1.5768774387359619,87.22,99.58,1.6079676298141479,83.1,98.68
13,1.5713919384002686,87.56,99.7,1.6161526916503905,83.03,97.74000000000001
14,1.5655666961669923,88.46000000000001,99.66000000000001,1.6015867963790893,83.17,98.72999999999999
15,1.5629902153015136,88.46000000000001,99.62,1.6081501796722413,82.55,98.52
16,1.5660672019958497,88.52,99.74,1.6060006498336792,83.22,98.53
17,1.560318110847473,88.98,99.83999999999999,1.603395112991333,83.28999999999999,98.58
18,1.558613285446167,89.38000000000001,99.78,1.6043586038589477,83.28999999999999,98.52
19,1.5566060932159425,89.46,99.74,1.6059984418869018,82.94,98.55000000000001
20,1.5551614599227905,89.14,99.82,1.6071680452346802,83.28999999999999,98.05
21,1.5548092779159546,89.92,99.76,1.6010766328811645,83.57,98.29
22,1.54994173412323,89.96,99.8,1.6079627674102783,83.5,98.3
23,1.5526139862060546,90.22,99.86,1.6070082458496093,83.09,98.34
24,1.5528479747772217,89.96,99.94,1.6019256469726562,83.12,98.5
25,1.5448723545074463,90.86,99.86,1.6078566335678102,83.3,98.09
26,1.545744486427307,91.06,99.88,1.6057201532363892,83.06,98.31
27,1.5474211292266846,90.64,99.82,1.6038931192398072,83.36,97.89
28,1.5424129718780517,91.38,99.88,1.6014929801940918,83.24000000000001,98.31
29,1.54229423828125,91.36,99.86,1.6088753273010254,83.19,97.87
30,1.5405564266204834,91.34,99.96000000000001,1.616495308494568,82.78,97.44
31,1.552338904953003,90.44,99.92,1.6077251714706422,83.07,98.27
32,1.544433614730835,91.32000000000001,99.9,1.6087884899139404,83.2,97.61
33,1.543873308944702,91.32000000000001,99.76,1.614097513961792,82.78999999999999,97.85000000000001
34,1.546893486404419,91.06,99.83999999999999,1.6053273357391358,83.22,97.92
35,1.54122901096344,91.24,99.82,1.6037019580841065,83.33,97.94
36,1.5388302604675292,92.0,99.88,1.6083598175048828,82.87,98.42
37,1.552648093032837,90.52,99.8,1.6075979995727538,82.95,98.34
38,1.5447237264633178,91.53999999999999,99.86,1.606562837791443,82.82000000000001,98.49
39,1.537786124420166,91.64,99.86,1.6044759101867676,83.09,98.04
40,1.5351323289871215,92.22,99.88,1.6023061176300049,83.41,98.19
41,1.5350553609848023,91.8,99.88,1.6043624633789062,83.28,98.11
42,1.5335163503646851,92.32000000000001,99.92,1.6046485261917114,83.12,98.02
43,1.5329659351348877,92.34,99.94,1.6025852361679078,83.16,98.33
44,1.5331685083389281,92.46,99.94,1.6059300945281982,83.09,98.4
45,1.5328460208892822,92.28,99.88,1.6086152025222777,83.0,98.11999999999999
46,1.534631644821167,92.42,99.92,1.612175777053833,82.97,97.50999999999999
47,1.532893785095215,92.67999999999999,99.92,1.6033670669555664,83.16,98.42999999999999
48,1.5316262523651123,92.32000000000001,99.96000000000001,1.608459560585022,83.2,98.16
49,1.5313627630233764,92.94,99.96000000000001,1.60370196018219,82.85,98.47
50,1.5306799440383911,92.9,99.96000000000001,1.6093334444046021,83.09,98.02
51,1.534223268890381,92.74,99.94,1.6114140129089356,82.97,98.08
52,1.5390412702560425,92.30000000000001,99.88,1.6054442457199096,83.42,98.09
53,1.5324912508010864,92.72,99.94,1.6075359243392944,82.98,97.92999999999999
54,1.5295033924102783,92.66,99.92,1.6108862977981568,82.71,98.11
55,1.5319939069747925,92.84,99.94,1.6083288930892945,83.23,97.94
56,1.5281025665283203,93.06,99.96000000000001,1.608927617073059,82.97,97.8
57,1.529708013534546,92.7,99.9,1.6121901332855224,83.05,97.50999999999999
58,1.5307279710769652,93.08,99.94,1.6102395343780518,82.96,98.28
59,1.5338422784805297,92.97999999999999,99.92,1.6074508434295653,82.66,98.44000000000001
60,1.533131929588318,92.67999999999999,99.94,1.605301993370056,83.21,97.97
61,1.530819582748413,92.92,99.96000000000001,1.607602028465271,83.22,97.94
62,1.5380175148010253,92.60000000000001,99.94,1.6080433374404908,83.0,97.94
63,1.5301947355270387,92.97999999999999,99.96000000000001,1.6170711610794068,82.04,97.74000000000001
64,1.5384211563110353,92.32000000000001,99.92,1.604605341720581,83.09,98.25
65,1.5294929527282715,92.97999999999999,99.94,1.6056703227996827,82.98,97.91
66,1.5255440763473511,93.4,99.96000000000001,1.6079625797271728,82.77,97.86
67,1.535074670791626,92.60000000000001,99.92,1.608640648651123,82.99,98.08
68,1.5331391729354857,92.74,99.92,1.6048270181655884,83.26,97.98
69,1.5317708778381347,92.34,99.9,1.6047447484970092,83.11,98.02
70,1.5261877918243407,93.36,99.96000000000001,1.6084688497543336,82.89999999999999,97.97
71,1.527981187057495,93.02,99.94,1.6041203714370726,83.14,98.16
72,1.5259452869415284,93.34,99.9,1.6082336011886598,83.15,97.65
73,1.5277093212127686,93.2,99.94,1.608149973678589,83.00999999999999,97.92999999999999
74,1.5273110694885255,93.28,99.92,1.6046597919464112,83.0,98.3
75,1.5241624927520752,93.60000000000001,99.94,1.607990111541748,82.75,97.88
76,1.5228388284683227,93.89999999999999,99.98,1.6098205326080322,82.82000000000001,97.76
77,1.5271746810913085,93.2,99.96000000000001,1.6072884588241576,82.91,97.98
