epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
36,1.4683812456130982,99.4,100.0,1.678723523902893,78.09,95.39
37,1.4647839622497558,99.6,100.0,1.674752607345581,78.31,95.98
38,1.4693006191253661,99.2,100.0,1.6853143867492675,77.85,95.25
39,1.4669813718795777,99.6,100.0,1.676920544242859,78.23,96.02000000000001
40,1.4655013732910156,99.8,100.0,1.6819695684432983,77.99000000000001,95.04
41,1.4652207412719727,99.2,100.0,1.6734385520935058,78.43,96.11
42,1.4626970481872559,99.6,100.0,1.6742645441055297,78.34,95.85000000000001
43,1.4554718189239502,99.6,100.0,1.6818744569778443,77.71000000000001,94.91000000000001
44,1.4590736513137816,99.8,100.0,1.6722030483245849,78.41,96.36
45,1.4561416149139403,99.8,100.0,1.6800375078201295,78.12,95.33
46,1.4594400882720948,99.8,100.0,1.6820919013977051,77.82,95.05
47,1.455285807609558,99.6,100.0,1.67586123714447,78.58000000000001,96.1
48,1.4559956464767456,99.8,100.0,1.6893518836975097,77.53,94.46
49,1.4540822343826294,99.8,100.0,1.6740711889266968,78.38000000000001,96.05
50,1.4506448316574097,99.8,100.0,1.6820838247299195,78.07,94.95
51,1.4515919857025146,99.8,100.0,1.677911197090149,78.3,95.72
52,1.455379934310913,99.6,100.0,1.6837240339279176,77.84,95.06
53,1.453460452079773,99.8,100.0,1.6809181903839112,78.06,95.5
54,1.451316999435425,99.6,100.0,1.6839362384796142,77.72,95.09
55,1.4505990409851075,99.8,100.0,1.6818762460708618,77.81,95.34
56,1.4536833534240723,100.0,100.0,1.681207308769226,78.07,95.7
57,1.4521347675323486,99.8,100.0,1.6873917329788208,77.45,94.77
58,1.4492399644851686,99.8,100.0,1.6765064079284668,77.95,96.09
59,1.4492210111618042,99.8,100.0,1.6867834268569946,77.62,94.38
60,1.4454288053512574,99.8,100.0,1.6739013778686525,78.34,95.94
61,1.4447737913131713,100.0,100.0,1.6815478950500489,77.86,95.06
62,1.4427488136291504,100.0,100.0,1.6801747316360474,78.03,95.33
63,1.444461181640625,100.0,100.0,1.6789566860198974,78.01,95.66
64,1.4418948917388916,100.0,100.0,1.6818580404281616,77.94,95.22
65,1.4429750957489014,100.0,100.0,1.68304002494812,77.82,94.98
66,1.4449230346679687,99.8,100.0,1.6803723594665527,77.88000000000001,95.38
67,1.4404805421829223,100.0,100.0,1.6839390716552733,77.91,94.86
68,1.4424158000946046,100.0,100.0,1.6798651308059693,78.03,95.69
69,1.4428236961364747,100.0,100.0,1.6842048009872437,77.64,94.94
70,1.4439062299728394,100.0,100.0,1.6832725225448608,77.75,95.56
71,1.4440270719528199,100.0,100.0,1.689258860206604,77.49000000000001,94.46
72,1.4421410112380981,100.0,100.0,1.6762530113220215,78.05,96.1
73,1.4416844148635863,100.0,100.0,1.6933739307403564,77.23,93.84
74,1.4435907878875733,100.0,100.0,1.6783503030776978,77.99000000000001,95.89999999999999
75,1.442878254890442,100.0,100.0,1.681944358444214,77.71000000000001,95.19999999999999
76,1.4439546604156495,100.0,100.0,1.6866307554244995,77.55,94.69999999999999
77,1.4445739688873291,100.0,100.0,1.679415570640564,78.02,95.92
78,1.444489097595215,100.0,100.0,1.685223021888733,77.53999999999999,94.75
79,1.4430858726501465,100.0,100.0,1.67847418384552,77.92,95.52000000000001
80,1.4388647384643554,100.0,100.0,1.6846951646804809,77.74,94.8
81,1.4371233024597168,100.0,100.0,1.680525143814087,77.88000000000001,95.43
82,1.4377421503067016,100.0,100.0,1.6818785291671754,77.64999999999999,95.1
83,1.437973385810852,100.0,100.0,1.6808611932754516,77.85,95.32000000000001
84,1.4396668043136596,100.0,100.0,1.6840764039993286,77.69,95.34
85,1.4413355312347411,100.0,100.0,1.6839780782699585,77.77,95.05
86,1.4378627643585205,100.0,100.0,1.6846215854644775,77.64999999999999,94.95
87,1.4373758211135865,100.0,100.0,1.6807242517471312,77.75,95.61
88,1.4371475706100463,100.0,100.0,1.6900414226531983,77.49000000000001,94.15
89,1.4369799118041993,100.0,100.0,1.679115647315979,77.98,95.54
90,1.437391954421997,100.0,100.0,1.6849371500015258,77.66999999999999,94.67
91,1.4363758726119995,100.0,100.0,1.6816444999694824,77.81,95.09
92,1.4370894889831543,100.0,100.0,1.680871149635315,77.79,95.33
93,1.4378718061447144,100.0,100.0,1.6832340854644776,77.72,94.93
94,1.4360270051956177,100.0,100.0,1.6835955320358276,77.77,95.08
95,1.4370232257843019,100.0,100.0,1.6798860429763793,77.88000000000001,95.52000000000001
96,1.4345525598526,100.0,100.0,1.6885222520828247,77.60000000000001,94.43
97,1.4376572227478028,100.0,100.0,1.6828732316970825,77.83,95.06
98,1.4367175664901732,100.0,100.0,1.679758046913147,77.94,95.71
99,1.4387065629959106,100.0,100.0,1.6862639112472535,77.77,94.43
100,1.4379699029922486,100.0,100.0,1.679691304588318,77.99000000000001,95.7
