epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,2.3365945251464844,10.52,52.42,2.3156557140350342,10.07,51.55
2,2.275937229156494,13.48,59.06,2.2540071403503417,14.78,62.01
3,2.250373418045044,15.24,62.62,2.2528057903289795,16.08,62.849999999999994
4,2.2356722339630126,16.28,65.4,2.2387870655059814,16.25,64.11
5,2.2431651428222654,15.14,64.12,2.2383063945770263,13.850000000000001,67.35
6,2.2351598484039306,15.36,64.74,2.2256408721923826,16.91,66.82000000000001
7,2.228061725616455,16.220000000000002,66.25999999999999,2.2355366443634033,16.55,66.13
8,2.2328310813903807,16.02,65.86,2.2297429054260256,15.93,66.85
9,2.236073511886597,16.5,65.60000000000001,2.225489218521118,16.41,65.75999999999999
10,2.2229045093536377,17.919999999999998,66.56,2.2281205562591553,16.72,66.61
11,2.2324622394561766,15.68,66.2,2.2188196380615235,17.4,66.59
12,2.2186226165771483,17.02,66.96,2.218206258010864,16.5,67.7
13,2.2127504280090333,17.78,68.30000000000001,2.216206439590454,15.870000000000001,69.1
14,2.220593946838379,16.72,68.2,2.2112709365844725,17.380000000000003,68.60000000000001
15,2.2142371585845946,18.02,68.16,2.2076629859924317,17.22,70.02000000000001
16,2.2065220386505127,17.68,69.0,2.215343451309204,19.49,68.58
17,2.208359393310547,18.16,68.72,2.2251646976470947,16.85,67.36999999999999
18,2.2110591625213623,17.78,68.52000000000001,2.2157474842071534,18.56,67.09
19,2.20889475440979,18.58,67.9,2.2038772369384767,17.98,69.48
20,2.200154764175415,19.2,70.62,2.2106196071624757,19.16,69.17999999999999
21,2.2073141662597657,18.7,68.54,2.2097143661499024,19.46,68.19
22,2.2001652507781984,19.32,68.89999999999999,2.2093776332855226,19.17,70.49
23,2.2033526306152345,18.62,69.36,2.198422496032715,20.52,70.28
24,2.190943611907959,19.62,71.16,2.207331630706787,18.75,67.92
25,2.1872815780639647,20.380000000000003,70.84,2.2121353809356687,17.98,68.83
26,2.2205127906799316,17.48,68.5,2.200508528518677,18.16,68.34
27,2.1988336124420167,18.7,70.64,2.1978439716339113,19.88,70.61
28,2.1840349037170412,19.62,72.06,2.199920160675049,18.759999999999998,69.22
29,2.1892999687194825,19.64,70.86,2.2039112567901613,16.88,70.19
30,2.226775788116455,16.38,67.22,2.1815413528442384,20.96,72.35000000000001
31,2.1813909759521484,20.74,71.92,2.184603823471069,20.03,71.39
32,2.181247769165039,20.9,71.86,2.1928105098724364,19.86,70.95
33,2.176014422607422,21.52,72.5,2.193220123291016,19.84,70.33
34,2.174009278869629,21.72,72.88,2.1933660400390624,20.349999999999998,69.13
35,2.176868969345093,20.8,73.1,2.189496978378296,20.68,71.41999999999999
36,2.1683782707214356,22.82,73.28,2.1924389945983886,19.3,71.50999999999999
37,2.169620971298218,20.76,73.68,2.180678890991211,20.06,72.64
38,2.175374486923218,21.22,72.5,2.182362098312378,21.279999999999998,72.02
39,2.15924547958374,22.919999999999998,74.64,2.1810164402008057,20.32,73.35000000000001
40,2.1583349697113037,22.720000000000002,75.3,2.1779137058258056,20.21,74.05000000000001
41,2.162797134399414,23.16,73.88,2.185631814575195,19.97,72.11
42,2.1530409992218016,23.44,75.42,2.1919757362365724,19.99,71.0
43,2.1878131294250487,20.24,70.94,2.187296170806885,19.950000000000003,70.43
44,2.157173091506958,22.28,75.22,2.1768798542022707,22.88,72.57000000000001
45,2.148538829421997,24.2,75.4,2.1713971336364746,21.02,73.96000000000001
46,2.150189769744873,24.099999999999998,75.06,2.1686823665618897,22.13,73.74000000000001
47,2.1404857971191404,25.619999999999997,76.24,2.17971976852417,19.21,71.98
48,2.1400946044921874,24.279999999999998,76.48,2.17933278465271,20.4,72.87
49,2.1572526752471926,24.32,74.14,2.185981455993652,20.54,71.41999999999999
50,2.1396938743591307,24.72,76.32,2.1653796546936035,23.31,73.05
51,2.142626900100708,25.419999999999998,75.9,2.1929743865966795,18.360000000000003,71.14
52,2.151421706390381,23.380000000000003,75.98,2.165430145263672,21.349999999999998,73.06
53,2.130013290786743,26.26,77.10000000000001,2.1758698528289795,21.87,73.58
54,2.129950197982788,26.36,76.75999999999999,2.1647088485717774,21.91,74.14
55,2.124756806564331,25.4,78.10000000000001,2.178965928649902,23.06,70.76
56,2.1243341556549074,26.419999999999998,77.88000000000001,2.1663714424133302,23.150000000000002,72.61999999999999
57,2.1226262908935545,27.439999999999998,76.98,2.1882338493347167,19.7,70.73
58,2.143726420211792,23.24,77.22,2.169090766143799,21.27,73.24000000000001
59,2.1305850284576415,25.72,77.24,2.156636003494263,23.46,75.03999999999999
60,2.1145634353637695,27.779999999999998,78.56,2.1841851970672606,20.3,71.6
